소관부처,전문기관,공고번호,공고명,공고일자,접수기간,사업담당자 연락처,접수 개시 여부,바로 가기 링크,공고상태,공모유형,상세본문요약,수집일시_UTC,source_key
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0635호,2026년도 연구안보 역량강화 신규과제 공모,2026-05-26,2026-05-26 ~ 2026-06-25,02-3460-5685; 042-862-1500; 1877-2041; 2026-0635,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021854&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0635호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:34:48+00:00,c03009eed7c28e35
산업통상부,한국산업기술기획평가원,산업통상부 공고 제2026-374호,2026년도 민군융합핵심소재자립화기술개발사업 신규지원 대상과제 공고,2026-05-26,2026-06-02 ~ 2026-06-26,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021796&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제2026-374호 | 공고명 | 2026년도 민군융합핵심소재자립화기술개발사업 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:34:48+00:00,5b334d212977b48b
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-354호,2026년도 민관공동기술사업화(R&D)'구매연계(혁신형도전)' 하반기 시행계획 공고,2026-05-26,2026-06-15 ~ 2026-06-29,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021719&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-354호 | 공고명 | 2026년도 민관공동기술사업화(R&D)'구매연계(혁신형도전)' 하반기 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,2737d8c70aac9502
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-354호,2026년도 민관공동기술사업화(R&D)'상생협력' 하반기 시행계획 공고,2026-05-26,2026-06-15 ~ 2026-06-29,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021717&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-354호 | 공고명 | 2026년도 민관공동기술사업화(R&D)'상생협력' 하반기 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,0e8ab9be16b65531
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-354호,2026년도 민관공동기술사업화(R&D)'구매연계(해외수요처)' 하반기 시행계획 공고,2026-05-26,2026-06-15 ~ 2026-06-29,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021715&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-354호 | 공고명 | 2026년도 민관공동기술사업화(R&D)'구매연계(해외수요처)' 하반기 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,4f71c13ed4a8ac22
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-354호,2026년도 민관공동기술사업화(R&D)'구매연계(조달혁신)' 하반기 시행계획 공고,2026-05-26,2026-06-15 ~ 2026-06-29,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021714&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-354호 | 공고명 | 2026년도 민관공동기술사업화(R&D)'구매연계(조달혁신)' 하반기 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,101200fbcde55f02
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-354호,2026년도 민관공동기술사업화(R&D)'구매연계(국내수요처)' 하반기 시행계획 공고,2026-05-26,2026-06-15 ~ 2026-06-29,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021656&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-354호 | 공고명 | 2026년도 민관공동기술사업화(R&D)'구매연계(국내수요처)' 하반기 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,97109973de6a27c2
산업통상부,한국산업기술기획평가원,산업통상부 공고 제2026-378호,2026년도 첨단소재공정고도화 및 기술역량확보기술개발사업 신규지원 대상과제 공고,2026-05-22,2026-05-22 ~ 2026-06-22,1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021878&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제2026-378호 | 공고명 | 2026년도 첨단소재공정고도화 및 기술역량확보기술개발사업 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:35:26+00:00,86c524aa0f1049a6
산업통상부,한국산업기술진흥원,산업통상부 공고 제 2026-352호,2026년도 3차 산업혁신기반구축사업 시행계획 공고,2026-05-22,2026-06-02 ~ 2026-06-22,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021877&ancmPrg=ancmIng,공고접수중,"지정공모,품목지정공모",사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제 2026-352호 | 공고명 | 2026년도 3차 산업혁신기반구축사업 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,4fb04b35a8fe6a0d
과학기술정보통신부,한국연구재단,NR_2026_069,2026년도 「양자컴퓨팅기반양자이득도전연구」사업 신규과제 공모,2026-05-22,2026-05-22 ~ 2026-06-22,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021876&ancmPrg=ancmIng,공고접수중,분야공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-06-22T08:35:26+00:00,3435ee02c3f033ef
우주항공청,우주항공청,2026-0059,2026년도 신규프로젝트 탐색연구(인공위성부문) 신규기획과제 공고,2026-05-22,2026-05-22 ~ 2026-06-22,042-862-1500; 1877-2041; 2026-0059,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021718&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 2026년도 신규프로젝트 탐색연구(인공위성부문) 신규기획과제 공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:35:26+00:00,82bd65a8849769eb
산업통상부,한국산업기술기획평가원,산업통상부 공고 제2026-373호,2026년도 제2차 산업기술R&D연구기획사업 신규지원 대상과제 공고,2026-05-22,2026-05-22 ~ 2026-06-22,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021655&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제2026-373호 | 공고명 | 2026년도 제2차 산업기술R&D연구기획사업 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:35:26+00:00,6c8a63130ae6998d
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0625호,2026년도 개인기초연구 핵심연구 기본연구B(정책형) 신규과제 공모,2026-05-21,2026-06-10 ~ 2026-06-24,042-862-1500; 042-869-6392; 1877-2041; 2026-0625,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021875&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0625호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:36:02+00:00,0633458d8927341b
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0579호,2026년 한국 이공계 여성대학원생 미국 연수프로그램 공모,2026-05-13,2026-05-13 ~ 2026-06-30,042-862-1500; 1877-2041; 2026-0579,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021616&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0579호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:36:02+00:00,89ab901159a6b93f
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0530호,2026년도 나노소재기술개발사업 신규과제 5차 공모,2026-04-27,2026-05-13 ~ 2026-06-26,042-862-1500; 1877-2041; 2026-0530,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021615&ancmPrg=ancmIng,공고접수중,분야공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0530호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:36:02+00:00,03a839f9258d89b1
기후에너지환경부,한국에너지기술평가원,기후에너지환경부 공고 제2026-421호,"2026년 한-체코, 한-중국 에너지국제공동R&D 신규지원 대상과제 공고",2026-04-22,2026-04-22 ~ 2026-06-24,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021121&ancmPrg=ancmIng,공고접수중,자유공모,"사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 기후에너지환경부 공고 제2026-421호 | 공고명 | 2026년 한-체코, 한-중국 에너지국제공동R&D 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자",2026-06-22T08:36:02+00:00,1694e36e8492c463
과학기술정보통신부,한국연구재단,NR_2026_062,"2026-2027년도 양자연구교류지원사업(베트남, 벨기에, 브라질, 체코, 태국, 튀르키예, 프랑스) 신규과제 공모",2026-04-15,2026-04-22 ~ 2026-07-01,042-862-1500; 1877-2041; 2026-2027,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=020939&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-06-22T08:36:02+00:00,a409435d108c8027
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-253호,2026년도 중소기업기술혁신개발사업 '중소기업유망기술개발(구조혁신R&D)' 하반기 2차 시행계획 공고,2026-04-09,2026-06-22 ~ 2026-07-06,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=020634&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-253호 | 공고명 | 2026년도 중소기업기술혁신개발사업 '중소기업유망기술개발(구조혁신R&D)' 하반기 2차 시행계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:36:02+00:00,89639f1c0991f6fb
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2026-0396호,2026년도 2차 개인기초연구(핵심연구(도전형)) 신규과제 공모(본 연구계획서 접수),2026-04-03,2026-06-17 ~ 2026-07-01,042-862-1500; 042-869-6392; 1877-2041; 2026-0396,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022414&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제 2026-0396호 | 공고명 | 2026년도 2차 개인기초연구(핵심연구(도전형)) 신규과제 공모(본 연구계획서 접수) | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:36:02+00:00,797062a1b95d0fcc
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2026-0396호,2026년도 2차 개인기초연구(핵심연구(전략형)) 신규과제 공모(본 연구계획서 접수),2026-04-03,2026-06-17 ~ 2026-07-01,042-862-1500; 042-869-6392; 1877-2041; 2026-0396,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022315&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제 2026-0396호 | 공고명 | 2026년도 2차 개인기초연구(핵심연구(전략형)) 신규과제 공모(본 연구계획서 접수) | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:36:02+00:00,c110987e06ce4dda
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-137호,2026년도 투·융자 연계 기술개발사업 지원계획 공고(스케일업 팁스),2026-02-27,2026-04-28 ~ 2026-06-25,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=019614&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-137호 | 공고명 | 2026년도 투·융자 연계 기술개발사업 지원계획 공고(스케일업 팁스) | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:36:02+00:00,d436415d06d61e37
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026-137호,2026년도 투·융자 연계 기술개발사업 지원계획 공고(딥테크 챌린지 프로젝트_기술도전형),2026-02-27,2026-04-20 ~ 2026-06-23,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=019508&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026-137호 | 공고명 | 2026년도 투·융자 연계 기술개발사업 지원계획 공고(딥테크 챌린지 프로젝트_기술도전형) | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:36:02+00:00,09afefef50d86a0d
농촌진흥청,농촌진흥청,제2026-33호,2026년 전국 토양비옥도 평가 신규과제,2026-02-13,2026-02-13 ~ 2026-06-30,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=019166&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-06-22T08:36:40+00:00,4738af685c32b8dd
과학기술정보통신부,한국과학기술기획평가원,IT_2026_001,(TEST) KISTEP 통합공고 테스트 입니다.,2026-01-01,2026-03-01 ~ 2027-12-31,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=017852&ancmPrg=ancmIng,공고접수중,"자유공모,정책지정공모",사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | (TEST) KISTEP 통합공고 테스트 입니다. | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:36:40+00:00,b68e3962cab5baed
과학기술정보통신부,한국과학기술기획평가원,IT_2025_001_TEST,6G 인터넷 VR 가상현실 개발을 위한 연구 공모 _TEST,2025-01-01,2025-01-01 ~ 2026-06-23,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=012996&ancmPrg=ancmIng,공고접수중,"자유공모,지정공모",사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처 | 접수,2026-06-22T08:36:40+00:00,f46d4b6ae0d638d2
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0676호,2026년 이공계 연구생활장려금 지원 사업 하반기 신규과제 공고,2026-06-11,2026-06-23 ~ 2026-07-20,042-862-1500; 1877-2041; 2026-0676,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022575&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0676호 | 공고명 | 2026년 이공계 연구생활장려금 지원 사업 하반기 신규과제 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-23T17:18:24+00:00,fc26d8f3e68e4204
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0679호,2026년도 미래개척융합과학기술개발사업 신규과제 제3차 공모,2026-06-10,2026-06-24 ~ 2026-07-10,042-862-1500; 1877-2041; 2026-0679,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022376&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0679호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-23T17:18:24+00:00,312030dce1ee4beb
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0675호,2026년도 방사선이용 기술개발사업(방사선 기반 소재·장비 기술 혁신화) 신규과제 공모,2026-06-11,2026-06-23 ~ 2026-07-13,042-862-1500; 1877-2041; 2026-0675,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022455&ancmPrg=ancmIng,공고접수중,정책지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0675호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-24T17:05:24+00:00,dfc9246318368999
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-668호,2026년 첨단기술을 활용한 사회문제해결 실증확산 지원(개발 및 실증지원) 신규과제 공모,2026-06-08,2026-06-24 ~ 2026-07-08,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021942&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-668호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-24T17:05:59+00:00,b9c46753487a080a
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0447호,2026년도 개도국기후기술실증연구 사업 신규과제 재공모,2026-05-13,2026-05-13 ~ 2026-07-06,042-862-1500; 1877-2041; 2026-0447,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=020774&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0447호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-25T17:15:03+00:00,31b404579e91bb5d
과학기술정보통신부,정보통신기획평가원,과학기술정보통신부 공고 제2026-0647호,(수정공고)2026년도 AI최고급신진연구자지원 사업 공고,2026-05-29,2026-06-15 ~ 2026-06-30,042-862-1500; 1877-2041; 2026-0647,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021943&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0647호 | 공고명 | (수정공고)2026년도 AI최고급신진연구자지원 사업 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-26T17:02:10+00:00,775ff8bf7e2657b1
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0737호,2026년 휴먼프론티어과학프로그램(HFSP) 협력사업(사전지원) 신규과제 공고,2026-06-30,,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022737&ancmPrg=ancmIng,공고접수중,자유공모,사업공고 | API 신청 | 연계 담당자 신청,2026-06-30T17:06:57+00:00,0a560cbae55464c8
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2026 - 425호,2026년 중소기업 수출 핵심품목 탄소감축 기술개발사업 하반기 시행계획 추가 공고,2026-06-30,2026-06-30 ~ 2026-07-13,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022697&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 중소벤처기업부 공고 제2026 - 425호 | 공고명 | 2026년 중소기업 수출 핵심품목 탄소감축 기술개발사업 하반기 시행계획 추가 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-30T17:06:57+00:00,f3c128bf70d3b82a
산업통상부,한국산업기술진흥원,KI_2026_009,2026년 산업혁신인재성장지원(해외연계) - 최고급 해외인재유치 지원사업 시행계획 추가 공고,2026-06-30,2026-06-30 ~ 2026-08-27,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022695&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 2026년 산업혁신인재성장지원(해외연계) - 최고급 해외인재유치 지원사업 시행계획 추가 공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-30T17:06:57+00:00,3418fe78e171a29c
과학기술정보통신부,한국연구재단,NR_2026_073,2026년도 한중핵심공동연구사업(Key Joint Research Program) 신규과제 공모,2026-06-29,2026-07-01 ~ 2026-08-11,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022456&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-07-01T17:13:53+00:00,ba624232feb922c8
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0752호,2026년 하반기 원자력정책연구사업 재공고,2026-07-02,,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022837&ancmPrg=ancmIng,공고접수중,지정공모,사업공고 | API 신청 | 연계 담당자 신청,2026-07-02T16:49:12+00:00,6fbbdd5d8b9ac950
다부처,재단법인 범부처의료기기연구개발사업단,제2026-04호,2026년 제2차 범부처 첨단 의료기기 연구개발사업 신규지원 대상과제 재공고,2026-07-01,2026-07-03 ~ 2026-07-10,02-6328-0336; 02-6328-0340; 02-6328-0346; 042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022777&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 2026년 제2차 범부처 첨단 의료기기 연구개발사업 신규지원 대상과제 재공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-07-03T16:24:16+00:00,0bc6aea07ec4c97c
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-761호,2026년도 개도국기후기술실증연구 사업 신규과제 2차 재공모,2026-07-06,2026-05-13 ~ 2026-07-16,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=020774&ancmPrg=ancmIng,공고접수중,지정공모,사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-761호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-07-06T17:43:26+00:00,6cf56e83c563feb7
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고-제2026-0758호,2026년도 국제공동연구 신속지원사업(미국 제네시스 미션과의 협력을 위한 탐색연구) 신규과제 공모,2026-07-08,2026-07-08 ~ 2026-08-31,042-862-1500; 1877-2041; 2026-0758,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=023018&ancmPrg=ancmIng,공고접수중,자유공모,사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고-제2026-0758호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자 | 연락처,2026-07-08T16:48:49+00:00,74e70d11d14c3224
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0670호,2026년도 「양자정보과학 인적기반조성사업」리더급 연구역량강화(전략기술형) 신규과제 재공모,2026-07-08,2026-07-08 ~ 2026-07-20,042-862-1500; 1877-2041; 2026-0670,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022977&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0670호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-07-08T16:48:49+00:00,941f52fab3a3152e
